,drvmax
0,6.181720733642578
1,104.93035888671875
2,15.019603729248047
3,16.761398315429688
4,45.42155456542969
5,55.350685119628906
6,76.15628051757812
7,23.434776306152344
8,72.00115966796875
9,37.02736282348633
10,68.04989624023438
11,27.475975036621094
12,22.547393798828125
13,31.837961196899414
14,45.832271575927734
15,48.44945526123047
16,21.360214233398438
17,30.30902862548828
18,15.163503646850586
19,73.08341217041016
20,110.76731872558594
21,3.8973045349121094
22,140.4947509765625
23,21.078407287597656
24,40.507957458496094
25,155.31646728515625
26,71.06280517578125
27,16.437618255615234
28,122.25537109375
29,16.632492065429688
30,27.398033142089844
31,0.4077186584472656
32,3.4199724197387695
33,0.8484115600585938
34,56.259056091308594
35,76.12030792236328
36,64.08663177490234
37,3.0069189071655273
38,105.27676391601562
39,50.62895202636719
40,24.53201675415039
41,11.425079345703125
42,3.390652656555176
43,65.11792755126953
44,174.88394165039062
45,18.985855102539062
46,34.38619613647461
47,131.35406494140625
48,23.338842391967773
49,8.160346984863281
50,54.32240295410156
51,45.46353530883789
52,10.909454345703125
53,10.858474731445312
54,18.581130981445312
55,62.11699295043945
56,36.964412689208984
57,77.1965560913086
58,17.62179946899414
59,27.254133224487305
60,7.150050163269043
61,21.273273468017578
62,127.72058868408203
63,70.34330749511719
64,55.91429138183594
65,11.793830871582031
66,39.5845947265625
67,224.17581176757812
68,7.686679840087891
69,122.5611572265625
70,57.758018493652344
71,119.57522583007812
72,14.521942138671875
73,5.633100509643555
74,22.598365783691406
75,13.46368408203125
76,12.471366882324219
77,41.91997528076172
78,43.26005554199219
79,27.47897720336914
80,74.6843032836914
81,8.768930435180664
82,15.868017196655273
83,126.12869262695312
84,21.986778259277344
85,35.26158905029297
86,20.93151092529297
87,1.45699143409729
88,240.574462890625
89,14.288108825683594
90,13.499656677246094
91,124.8575668334961
92,25.848106384277344
93,4.448920249938965
94,142.86009216308594
95,28.786073684692383
96,87.64432525634766
97,15.40932846069336
98,22.5084171295166
99,46.22499465942383
100,80.59320831298828
101,9.926128387451172
102,25.767162322998047
103,58.54946517944336
104,61.703285217285156
105,65.67853546142578
106,5.495196342468262
107,18.86893653869629
108,16.56952667236328
109,1.5679130554199219
110,101.48274993896484
111,8.24429702758789
112,3.3636722564697266
113,19.273658752441406
114,74.55538940429688
115,54.44529724121094
116,41.02959442138672
117,47.3072509765625
118,21.612037658691406
119,44.959877014160156
120,211.0299072265625
121,43.40095520019531
122,138.53109741210938
123,45.83226776123047
124,35.3695182800293
125,23.596664428710938
126,79.90068054199219
127,47.343223571777344
128,25.923053741455078
129,0.4047203063964844
130,82.66000366210938
131,30.681060791015625
132,128.4281005859375
133,35.46844482421875
134,122.15043640136719
135,29.001922607421875
136,6.0528106689453125
137,63.58598327636719
138,40.12422561645508
139,12.240524291992188
140,13.883390426635742
141,103.8720932006836
142,101.2099380493164
143,2.8510284423828125
144,44.07548904418945
145,0.9953079223632812
146,1.1272201538085938
147,87.60835266113281
148,90.95703125
149,12.849104881286621
150,39.140899658203125
151,1.6158828735351562
152,47.067420959472656
153,146.871337890625
154,15.74210262298584
155,19.627410888671875
156,3.540008544921875
157,41.404335021972656
158,136.92420959472656
159,134.95458984375
160,122.32731628417969
161,58.39058303833008
162,15.00161361694336
163,48.476444244384766
164,30.806673049926758
165,5.7919769287109375
166,4.077182769775391
167,44.33331298828125
168,72.2020263671875
169,142.3204803466797
170,14.566917419433594
171,11.023368835449219
172,23.275888442993164
173,125.53509521484375
174,237.72943115234375
175,14.596893310546875
176,7.97747802734375
177,12.519336700439453
178,196.61288452148438
179,19.20770263671875
180,53.53693389892578
181,19.378582000732422
182,45.44554138183594
183,141.57699584960938
184,135.6260986328125
185,95.10615539550781
186,52.95534133911133
187,76.552001953125
188,290.0522155761719
189,15.30740737915039
190,8.771926879882812
191,94.00592041015625
192,11.730873107910156
193,4.511878967285156
194,0.8094482421875
195,17.879623413085938
196,10.9664306640625
197,62.614654541015625
198,123.05282592773438
199,16.413639068603516
200,70.54116821289062
201,55.66846466064453
202,55.503578186035156
203,8.040443420410156
204,12.618265151977539
205,119.61418914794922
206,10.342842102050781
207,8.61004638671875
208,27.01129150390625
209,11.455070495605469
210,32.56345748901367
211,69.17111206054688
212,6.745338439941406
